yyyymm,Mkt_RF,SMB,HML,RMW,CMA,RF,LID,MOM,R_MKT,R_ME,R_IA,R_ROE,R_EG,PEAD,FIN,SMB_SY,MGMT,PERF,HML_Novy,UMD_Novy,PMU_Novy
200511,3.61,0.85,-1.18,-0.74,-1.14,0.31,0.53735,0.35,3.6182,1.2181,-1.0467,0.7767,-0.6024,0.91,-0.5,0.5901404,-0.869905,1.5399202,-0.012207351,0.009956522,0.007314128
200512,-0.25,-0.21,0.2,0.21,0.23,0.32,0.040549,0.77,-0.2427,-0.0272,0.8831,0.2219,1.0851,-0.92,-1.16,-1.1124147,-1.3217635,-0.9359613,0.015651462,0.009729949,-0.005359823
200601,3.04,5.75,1.08,-0.64,-0.46,0.35,3.390266,2.53,3.0377,6.4402,-0.6827,-0.2638,0.8754,-0.32,-3.37,6.5749896,-3.9937464,1.1358082,0.010467537,0.019962742,-0.005267015
200602,-0.3,-0.42,-0.35,-0.51,1.91,0.34,-3.892763,-1.84,-0.2928,-0.389,2.4367,-1.0088,-1.0037,-0.63,0.68,-1.1630181,2.7110761,-1.5108193,0.003541994,-0.004064371,-0.008084151
200603,1.46,3.4,0.59,0.09,-0.41,0.37,1.239827,1.26,1.4648,3.1186,-1.346,0.7682,-0.7847,2.05,-0.39,2.1692648,-2.040857,2.7810611,0.003419971,0.011234628,-0.000665119
200604,0.73,-0.84,2.34,1.8,0.01,0.36,-0.662866,0.64,0.7296,-0.3044,0.3425,0.8234,-0.1292,0.66,0.85,-2.0454184,-0.6377756,0.5687171,0.026314041,0.006627258,0.005016465
200605,-3.57,-2.85,2.42,1.15,1.46,0.43,2.052905,-3.7,-3.5448,-3.5172,1.325,-0.0888,-1.598,1.32,2.94,-2.6358959,2.4482794,-3.5627218,0.004336751,-0.018908133,-0.001463044
200606,-0.35,-0.24,0.85,1.33,-0.07,0.4,3.216129,1.54,-0.3492,-0.3339,-0.3929,1.043,0.6258,1.34,0.38,-1.9539716,-0.6860615,0.9387419,-0.004384489,0.004366653,0.009163953
200607,-0.78,-3.64,2.62,1.63,0.9,0.4,5.464797,-2.12,-0.776,-3.1601,1.3515,0.545,3.2009,-1.14,4.22,-2.0257171,3.1714601,-1.2601456,0.02258055,-0.00258718,0.000831452
200608,2.03,0.44,-2.06,-1.86,2.09,0.42,-2.799618,-3.38,2.0201,0.4272,1.9357,-1.3436,-0.1446,-1.82,1.55,0.9743306,1.3300316,-2.0607577,-0.001296099,-0.017675675,0.002941719
200609,1.84,-1.46,0.08,0.82,0.6,0.41,-1.760065,-0.96,1.8459,-0.9658,0.9846,0.6327,0.9511,-0.4,3.19,-0.9272488,1.217102,0.1528809,0.006234572,-0.0024247,0.009658537
200610,3.23,1.98,-0.3,-0.12,0.28,0.41,3.789315,-0.2,3.226,1.9769,0.2011,-0.2861,0.445,-2.56,-0.9,1.9095498,-1.1926778,-0.2587309,-0.005710554,-0.003438185,0.006723477
200611,1.71,0.71,0.14,0.15,-0.81,0.42,2.841449,-1.03,1.7004,0.3938,-1.5991,0.485,-0.8997,0.06,-0.43,0.3661689,-1.3287407,-1.0828516,0.002266472,0.00230624,-0.001852812
200612,0.87,-0.82,2.73,-0.72,2.06,0.4,-1.618119,0.79,0.8638,-0.0015,1.8288,-0.5587,-1.2249,-0.59,2.89,-0.2477763,1.855192,-0.7877374,0.021730286,0.008610439,0.009850651
200701,1.4,0.08,-0.69,0.25,0.38,0.44,0.37558,0.24,1.3927,-0.095,0.6304,0.0206,0.0683,-0.78,-0.15,-0.2971536,-0.8505698,0.086582,0.001783773,0.00691825,0.000544034
200702,-1.96,1.28,-0.13,-0.51,-0.71,0.38,2.496826,-1.35,-1.9559,1.4278,-0.9739,-0.7456,-0.0687,-0.51,-1.18,0.6794468,-1.1571507,0.1532604,-0.00370677,-0.01614863,-0.005484943
200703,0.68,0.19,-0.96,0.64,-0.65,0.43,2.93159,2.56,0.6903,-0.1825,-1.1944,0.4356,-0.2037,1.38,-1.23,0.6293618,-1.531652,4.5511979,0.004376632,0.020899184,0.000513462
200704,3.49,-2.03,-1.46,1.15,1.04,0.44,2.008087,-0.24,3.4828,-1.7342,0.848,0.5436,1.1127,-1.64,-0.58,-1.4020707,-0.4013446,0.9737307,-0.00013216,0.006285201,-0.001735131
200705,3.24,0.4,-0.65,1.58,-1.36,0.41,2.742498,-0.34,3.2409,-0.2543,-2.3087,0.5236,0.1331,1.29,-0.73,0.5697459,-0.0670298,1.2699811,0.001521134,0.003280932,0.007217394
200706,-1.96,0.75,-1.07,0.53,0.08,0.4,0.799133,0.51,-1.949,0.5452,0.9511,1.2065,-0.5937,1.47,-0.24,0.786943,-1.5679396,2.1123508,0.006329967,0.003958076,0.004874109
200707,-3.73,-2.98,-3.72,0.2,-1.13,0.4,2.659782,2.94,-3.7154,-3.0159,-2.2891,1.6369,0.0496,1.35,-0.63,-2.4984601,-2.3332276,6.69003,-0.011216806,0.013974881,0.016495071
200708,0.92,-0.37,-1.86,-1.21,-0.53,0.42,-0.456816,0.1,0.9173,-0.8207,-1.3054,0.9418,0.4943,0.63,-0.74,0.2689117,-1.2126681,-0.5248513,-0.020195303,0.01091461,-0.000823718
200709,3.22,-2.43,-2.23,-0.52,-3.02,0.32,3.336599,4.63,3.2021,-2.4039,-3.2183,1.6356,-0.4745,3.58,-5.05,-2.6164551,-3.8511332,3.5212508,-0.004375257,0.034803008,-0.003717831
200710,1.8,-0.03,-3.05,-0.3,-0.09,0.32,5.507869,5.02,1.8018,0.377,0.4577,1.2265,0.3453,1.2,-1.23,0.6760027,-0.4639503,8.0784263,-0.004695745,0.03542168,-0.001750758
200711,-4.83,-3.01,-0.95,1.89,-0.29,0.34,2.204191,0.99,-4.8017,-3.0218,0.1851,3.588,1.4361,-0.31,1.44,-3.1540051,1.342967,6.5501398,-0.003378423,0.015267883,0.017190496
200712,-0.87,0.15,-0.54,0.87,-1.04,0.27,5.044672,6.63,-0.8795,0.6489,-0.6012,2.3193,1.0642,3.02,-1.33,0.965644,-1.6383066,6.8711734,-0.001934869,0.034121667,-0.002034078
